Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Jacob deGrom,NYM,11.65,2.05,5.69,0.81,0.331,0.058,0.273,0.2,0.96,0.282,0.804,58,59,64,2.35,2.49,-0.14,2.77,2.95,10954
Chris Sale,BOS,13.21,1.97,6.69,1.02,0.367,0.055,0.312,0.202,0.97,0.298,0.76,66,59,60,3.08,2.57,0.51,2.63,2.61,10603
Max Scherzer,WSN,12.28,2.2,5.59,1.06,0.344,0.062,0.282,0.198,0.97,0.279,0.808,64,66,74,2.76,2.86,-0.09,3.16,2.93,3137
Luis Severino,NYY,10.6,2.34,4.53,0.91,0.29,0.064,0.226,0.22,1.09,0.292,0.755,73,68,72,3.13,2.99,0.14,3.1,3.28,15890
Shane Bieber,CLE,11.49,2.11,5.44,1.1,0.314,0.058,0.256,0.231,1.12,0.315,0.779,71,68,68,3.23,3,0.23,2.97,3.17,19427
Corey Kluber,- - -,10.28,1.93,5.33,0.97,0.289,0.054,0.235,0.215,1.01,0.28,0.776,64,70,72,2.85,3.01,-0.16,3.11,3.23,2429
Noah Syndergaard,NYM,9.2,2.17,4.25,0.78,0.245,0.058,0.188,0.249,1.21,0.318,0.713,91,73,82,3.67,3.1,0.58,3.51,3.73,11762
Walker Buehler,LAD,10.02,2.1,4.77,0.95,0.282,0.059,0.223,0.199,0.97,0.255,0.765,68,74,80,2.75,3.14,-0.39,3.41,3.5,19374
Gerrit Cole,- - -,11.69,2.31,5.05,1.2,0.326,0.065,0.262,0.209,1.03,0.282,0.793,72,73,71,3.08,3.15,-0.07,3.08,3.11,13125
Brandon Woodruff,MIL,10.04,2.41,4.16,0.89,0.278,0.067,0.211,0.212,1.05,0.275,0.756,75,73,80,3.26,3.19,0.07,3.45,3.62,16162
Carlos Carrasco,CLE,10.53,2.13,4.94,1.11,0.288,0.058,0.23,0.239,1.14,0.314,0.776,76,74,73,3.46,3.25,0.21,3.21,3.33,6632
Stephen Strasburg,WSN,10.55,2.6,4.06,1,0.288,0.071,0.217,0.215,1.09,0.282,0.761,76,75,77,3.28,3.29,-0.01,3.33,3.51,10131
Charlie Morton,- - -,10.62,3.03,3.51,0.84,0.284,0.081,0.203,0.219,1.15,0.294,0.744,80,77,79,3.4,3.3,0.1,3.45,3.62,4676
