Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,playerid
Antonio Senzatela,COL,476.1,0.627,0,,0,0.074,0.226,0.069,,,,,15488
Reynaldo Lopez,CHW,449.2,0.59,0.008,,0.002,0.163,0.173,0.063,,,,,16400
Tyler Mahle,CIN,406.2,0.583,0.134,0.085,0,0.034,0.077,0.071,,,,,16358
Kevin Gausman,- - -,624.2,0.578,,0.286,0,0.023,0.108,0,,,,0,14107
Vince Velasquez,PHI,427.2,0.575,0,,0.059,0.074,0.147,0.142,,,,,11189
Sean Manaea,OAK,519.2,0.573,0,0,0,0.263,0.156,0.001,,,,,15873
Luke Weaver,- - -,341,0.563,0.076,,0.005,0.257,0,0.096,,,,,16918
Tyler Glasnow,- - -,318.2,0.555,,,0.059,0.054,0.084,0.244,,,,,14374
Justin Verlander,- - -,649,0.553,0.002,,0,0.032,0.238,0.154,,,,0,8700
Nick Pivetta,- - -,478,0.546,0.001,,0.026,0.028,0.176,0.212,,,,0,15454
James Paxton,- - -,468.2,0.53,0.15,,0.091,0.019,0.001,0.2,,,,0,11828
Rich Hill,- - -,460,0.524,0.022,,0.013,0.011,0.009,0.415,0.001,,,,4806
Robbie Ray,- - -,620.2,0.521,,0,0.036,0.009,0.263,0.165,,,,,11486
Eric Lauer,- - -,319.1,0.519,0.214,0,0,0.049,0.057,0.137,,,,,19316
Mike Clevinger,- - -,481.2,0.516,0.006,,0,0.132,0.225,0.119,,,,,12808
Michael Pineda,- - -,335.1,0.515,,,0.001,0.142,0.323,0,,,,,5372
Jon Gray,COL,564.1,0.513,,,0.002,0.041,0.325,0.115,,,,,14916
Blake Snell,- - -,547.1,0.511,,0,0,0.192,0.121,0.172,,,,,13543
Marco Estrada,- - -,353.1,0.51,0.066,,0,0.335,0,0.074,,,,,1118
J.A. Happ,- - -,618,0.51,0,,0.197,0.119,0.15,0.023,,,,,7410
Luis Severino,NYY,396.2,0.51,0.001,,,0.136,0.352,0,,,,0,15890
Matt Harvey,- - -,388.2,0.498,,0,0.063,0.109,0.229,0.088,,,,0,11713
Gerrit Cole,- - -,808.2,0.495,0,,0.054,0.083,0.205,0.161,,,,0,13125
Carlos Rodon,CHW,327,0.492,0,,0.088,0.133,0.279,0.005,,,,,16137
Max Fried,ATL,336,0.488,,,0.063,0.038,0.165,0.243,,,,0,13743
Trevor Williams,- - -,559,0.487,0.003,,0.168,0.127,0.183,0.026,,,,,16977
Max Scherzer,WSN,766,0.484,0.08,,0,0.148,0.199,0.084,,,,0,3137
Walker Buehler,LAD,484,0.478,0.134,,0.102,0.017,0.124,0.13,,,,,19374
Lucas Giolito,CHW,580.2,0.472,0,,0.069,0.247,0.153,0.057,,,,,15474
Taijuan Walker,- - -,315,0.47,,0.136,0.105,,0.177,0.108,,,,,11836
Michael Wacha,- - -,446,0.47,0.199,,0.006,0.219,0,0.1,,,,0,14078
Homer Bailey,- - -,368.2,0.467,,0.2,0.058,0,0.173,0.078,,,,,8362
German Marquez,COL,732,0.46,,0,0.097,0.048,0.164,0.228,,,,0,15038
Mike Minor,- - -,533.1,0.457,,,0.003,0.216,0.205,0.115,,,,0,10021
Dan Straily,- - -,337.1,0.455,,0,0.037,0.18,0.296,0.023,,,,,9460
Lance Lynn,- - -,725.2,0.453,0.162,,0.272,0.025,0.004,0.071,,,,,2520
Dylan Bundy,- - -,633.2,0.449,,0.012,0.063,0.134,0.23,0.103,,,,,12917
Eduardo Rodriguez,BOS,558.1,0.448,0.141,,0.101,0.214,0.082,0,,,,,13164
Drew Pomeranz,- - -,300.1,0.446,0.069,,0.095,0.019,0,0.362,,,,0,11426
Jacob deGrom,NYM,782.1,0.444,,0,0.071,0.141,0.274,0.057,,,,,10954
Shane Bieber,CLE,490.1,0.441,0.032,,0,0.062,0.227,0.223,,,,,19427
Jordan Lyles,- - -,356,0.44,,,0.057,0.077,0.145,0.264,,,,0,7593
Jack Flaherty,STL,470,0.44,0,0,0.121,0.03,0.285,0.121,,,,0,17479
Jordan Zimmermann,DET,407.1,0.423,0,,0.067,0.047,0.292,0.167,,,,,4505
Chris Archer,- - -,471.1,0.423,0,,0.055,0.096,0.41,0.01,,,,0,6345
Matthew Boyd,DET,620.1,0.418,,,0.086,0.126,0.258,0.1,,,,,15440
Zack Greinke,- - -,806.1,0.417,0.003,0.003,0.054,0.201,0.17,0.136,0.012,,,0,1943
Nathan Eovaldi,- - -,318.1,0.413,0.228,0.128,0.001,,0.103,0.126,,,,,9132
Clayton Kershaw,LAD,678.1,0.413,,,0.008,0.007,0.393,0.16,,,,,2036
Yusei Kikuchi,SEA,312,0.411,0.185,,,0.075,0.23,0.079,,,,0,20633
Brandon Woodruff,MIL,373,0.409,0,,0.223,0.142,0.155,0.068,,,,,16162
Julio Teheran,- - -,570,0.407,,0,0.222,0.087,0.205,0.074,,,,0,6797
Stephen Strasburg,WSN,541,0.399,,,0.099,0.194,0.043,0.25,,,,,10131
Jose Quintana,- - -,565.2,0.397,0,,0.229,0.093,0,0.264,,,,0,11423
Tyler Anderson,- - -,435,0.397,0.256,0,0.061,0.258,,0.024,,,,,12880
Madison Bumgarner,- - -,560.2,0.395,0.346,,0.001,0.053,0,0.196,0.001,,,0,5524
Danny Duffy,KCR,548,0.395,,,0.132,0.172,0.221,0.078,,,,,3542
Trevor Bauer,- - -,740.2,0.394,0.138,0.003,0.057,0.057,0.127,0.222,,0,,0,12703
Brad Keller,KCR,439.2,0.384,,,0.269,0.031,0.315,0,,,,,15734
Chase Anderson,- - -,487,0.377,0.135,,0.126,0.201,,0.149,,,,0,6895
Chris Sale,BOS,519.2,0.374,0,0,0.117,0.158,0.349,0,,,,0,10603
Jon Lester,- - -,665.1,0.356,0.292,,0.101,0.108,0,0.138,,,,,4930
Pablo Lopez,MIA,328.1,0.354,0.052,,0.184,0.26,,0.143,,,,,17085
Jameson Taillon,- - -,450,0.353,0.002,,0.223,0.064,0.136,0.214,,,,,11674
Zack Wheeler,- - -,660.2,0.353,,0.029,0.247,0.059,0.203,0.106,,,,0,10310
Kyle Freeland,COL,575.2,0.344,0.266,,0.175,0.13,0.079,0,,,,,16256
Jakob Junis,KCR,491.1,0.339,0.02,,0.17,0.056,0.4,0.012,,,,,13619
Luis Castillo,CIN,628.1,0.339,,,0.199,0.283,0.168,0,,,,,15689
Merrill Kelly,ARI,331.2,0.336,0.17,,0.148,0.138,0,0.205,,,,,11156
Carlos Carrasco,CLE,519.2,0.333,0,,0.117,0.174,0.246,0.11,,,,,6632
Mike Foltynewicz,- - -,561.1,0.333,0,,0.225,0.079,0.254,0.104,,,,0,10811
Johnny Cueto,SFG,362.2,0.331,,,0.157,0.221,0.249,0.035,,,,0,6893
Aaron Nola,PHI,760.2,0.329,0.002,0,0.161,0.196,0,0.309,,,,0,16149
Jose Berrios,MIN,714.2,0.32,,0,0.251,0.124,0.001,0.296,,,,,14168
Anthony DeSclafani,- - -,430.2,0.32,,,0.204,0.063,0.303,0.094,,,,0,13050
Derek Holland,- - -,361,0.32,0,,0.233,0.093,0.197,0.151,,,,,4141
Kenta Maeda,- - -,517.1,0.318,0.071,0.169,0.059,0.025,0.254,0.09,,,,,18498
Joe Musgrove,- - -,499.2,0.315,0.11,,0.117,0.107,0.24,0.107,,,,,12970
Mike Fiers,- - -,574,0.312,0.153,0.16,0.171,,0.028,0.166,,0,,,7754
Hyun-Jin Ryu,- - -,560.1,0.307,0.214,,0.066,0.255,0.013,0.14,0,,,0,14444
Andrew Cashner,- - -,446.1,0.302,0.067,,0.283,0.177,0.061,0.107,,,,,8782
Cole Hamels,- - -,483.2,0.299,0.184,,0.166,0.201,0.019,0.128,,,,,4972
Gio Gonzalez,- - -,470.1,0.294,,,0.245,0.221,0,0.207,,,,0,7448
Jake Odorizzi,- - -,527,0.289,0.109,0.189,0.239,0,0.103,0.054,,,,,6397
Zach Eflin,PHI,512,0.287,0.002,,0.293,0.09,0.242,0.081,,,,,13774
James Shields,CHW,321,0.284,0.242,,0.087,0.152,0,0.193,0.039,,,,7059
Anibal Sanchez,- - -,437,0.279,0.222,0.047,0.1,0.22,0.05,0.075,,,,0,3284
Sonny Gray,- - -,573.1,0.273,0.009,,0.275,0.038,0.174,0.215,0.003,,,,12768
Yu Darvish,- - -,592,0.272,0.084,0.033,0.117,0.019,0.394,0.075,0.002,,,,13074
Charlie Morton,- - -,657.1,0.272,0.042,0.045,0.257,0.001,0.053,0.326,,,,,4676
Miles Mikolas,STL,388.2,0.265,,,0.227,0.038,0.244,0.21,,,,,9803
Sandy Alcantara,MIA,393,0.262,0,,0.29,0.163,0.224,0.057,,,,,18684
Rick Porcello,- - -,628,0.256,,0,0.293,0.108,0.204,0.132,,,,,2717
Carlos Martinez,STL,407.2,0.251,0.089,,0.241,0.152,0.253,0.007,,,,,11682
Aaron Sanchez,- - -,300.2,0.249,,,0.361,0.194,0,0.191,,,,,11490
Ivan Nova,- - -,554,0.243,0,,0.372,0.127,0.046,0.197,,,,,1994
Noah Syndergaard,NYM,382.1,0.241,,,0.32,0.16,0.178,0.096,,,,,11762
