Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
Clayton Richard,- - -,0.32,2.76,0.211,0.579,0.21,0.071,0.194,178,3.99,2213,3947,6160,0.419,0.353,0.228,0.182,0.44,0.377,3551
Dallas Keuchel,- - -,0.284,2.65,0.203,0.578,0.218,0.081,0.151,369,5.32,3766,6134,9900,0.458,0.338,0.204,0.221,0.488,0.291,9434
Marcus Stroman,- - -,0.304,2.55,0.198,0.576,0.226,0.062,0.143,319,4.79,3540,6018,9558,0.394,0.345,0.261,0.188,0.483,0.329,13431
Lance McCullers Jr.,HOU,0.293,2.34,0.179,0.575,0.246,0.06,0.124,208,4.78,2481,4056,6537,0.44,0.337,0.223,0.179,0.499,0.322,14120
Brett Anderson,- - -,0.298,2.23,0.209,0.546,0.245,0.059,0.144,271,5.87,2396,4045,6441,0.419,0.368,0.213,0.156,0.465,0.38,8223
Max Fried,ATL,0.325,2.14,0.236,0.521,0.243,0.07,0.149,280,7.5,1969,3485,5454,0.393,0.348,0.259,0.196,0.476,0.328,13743
Kyle Gibson,- - -,0.305,1.96,0.233,0.508,0.259,0.09,0.171,429,5.65,4389,6899,11288,0.452,0.36,0.188,0.162,0.47,0.368,10123
Luis Castillo,CIN,0.282,1.9,0.193,0.529,0.278,0.089,0.166,291,4.17,3812,6629,10441,0.398,0.361,0.242,0.189,0.477,0.333,15689
Wade Miley,- - -,0.298,1.89,0.224,0.507,0.269,0.085,0.139,310,5.36,3667,5508,9175,0.444,0.344,0.213,0.174,0.496,0.33,8779
Antonio Senzatela,COL,0.307,1.86,0.22,0.507,0.272,0.078,0.148,299,5.65,3008,4896,7904,0.397,0.351,0.252,0.165,0.477,0.358,15488
Brad Keller,KCR,0.299,1.84,0.216,0.508,0.276,0.075,0.097,228,4.67,2764,4514,7278,0.421,0.323,0.256,0.163,0.491,0.346,15734
Sonny Gray,- - -,0.286,1.77,0.209,0.506,0.285,0.088,0.141,325,5.1,3697,5910,9607,0.42,0.346,0.234,0.177,0.5,0.323,12768
Alex Wood,- - -,0.289,1.76,0.212,0.503,0.286,0.067,0.152,267,5.67,2269,4430,6699,0.422,0.336,0.242,0.165,0.498,0.338,13781
Alex Cobb,- - -,0.294,1.74,0.213,0.5,0.287,0.08,0.156,227,4.36,2740,4824,7564,0.433,0.35,0.217,0.173,0.478,0.349,6562
Zack Godley,- - -,0.316,1.7,0.212,0.496,0.292,0.086,0.139,217,4.92,2587,4133,6720,0.426,0.368,0.206,0.175,0.452,0.372,14862
Mike Leake,- - -,0.303,1.69,0.21,0.496,0.294,0.077,0.151,305,4.83,2798,5754,8552,0.453,0.346,0.2,0.155,0.478,0.367,10130
Carlos Martinez,STL,0.291,1.68,0.193,0.506,0.301,0.109,0.131,212,4.68,2295,4205,6500,0.407,0.35,0.243,0.189,0.477,0.334,11682
Noah Syndergaard,NYM,0.318,1.68,0.216,0.492,0.293,0.101,0.104,227,5.34,1974,3992,5966,0.405,0.349,0.245,0.226,0.512,0.262,11762
Miles Mikolas,STL,0.289,1.67,0.226,0.484,0.29,0.084,0.125,209,4.84,1902,4028,5930,0.385,0.346,0.269,0.178,0.457,0.365,9803
German Marquez,COL,0.303,1.65,0.223,0.483,0.293,0.066,0.154,463,5.69,3895,7481,11376,0.373,0.361,0.266,0.159,0.481,0.36,15038
