"Name","Team","IP","FA-Z","FC-Z","FS-Z","SI-Z","CH-Z","SL-Z","CU-Z","CS-Z","KN-Z","SB-Z","playerid"
"Marco Estrada","- - -","353.1","11.6","4.6","","10.3","9.0","12.2","-7.7","","","","1118"
"Clayton Kershaw","LAD","678.1","10.1","","","9.8","8.8","4.1","-11.2","","","","2036"
"Justin Verlander","- - -","649.0","9.8","6.4","","9.1","3.8","1.8","-8.1","","","","8700"
"Dylan Bundy","- - -","633.2","9.8","","4.3","7.7","4.1","-1.6","-9.0","","","","12917"
"Blake Snell","- - -","547.1","9.7","","8.9","9.5","6.0","0.4","-7.3","","","","13543"
"Mike Fiers","- - -","574.0","9.7","5.5","2.5","7.1","","2.0","-12.2","","9.0","","7754"
"Dan Straily","- - -","337.1","9.4","","1.0","7.4","0.8","0.8","-5.4","","","","9460"
"Walker Buehler","LAD","484.0","9.4","4.0","","7.1","3.8","-1.3","-10.3","","","","19374"
"Drew Pomeranz","- - -","300.1","9.4","4.7","","7.4","5.8","2.3","-10.5","","","","11426"
"Danny Duffy","KCR","548.0","9.4","","","7.8","5.5","-1.6","-10.2","","","","3542"
"Nick Pivetta","- - -","478.0","9.3","3.7","","7.2","4.5","-0.7","-9.8","","","","15454"
"Lucas Giolito","CHW","580.2","9.2","9.4","","5.7","5.5","1.3","-9.6","","","","15474"
"Rich Hill","- - -","460.0","9.2","4.4","","3.2","5.0","-4.2","-9.2","-10.1","","","4806"
"Jake Odorizzi","- - -","527.0","9.2","5.0","2.8","8.0","4.9","1.8","-8.0","","","","6397"
"Tyler Anderson","- - -","435.0","9.2","4.6","8.6","5.7","6.0","","-7.0","","","","12880"
"Chris Archer","- - -","471.1","9.1","9.9","","7.6","3.5","-0.7","-5.3","","","","6345"
"Trevor Bauer","- - -","740.2","9.1","-0.9","2.4","6.0","3.2","-2.6","-12.1","","-11.3","","12703"
"Taijuan Walker","- - -","315.0","9.1","","4.0","6.8","","2.0","-8.2","","","","11836"
"Jordan Montgomery","NYY","333.1","9.1","4.2","6.4","6.9","7.7","2.4","-3.5","","","","16511"
"Michael Wacha","- - -","446.0","9.1","4.8","","7.7","4.5","6.2","-8.9","","","","14078"
"Wade Miley","- - -","520.1","9.1","3.4","","8.0","4.3","-0.7","-8.3","","","","8779"
"Vince Velasquez","PHI","427.2","9.0","6.8","","4.3","2.8","-0.4","-7.5","","","","11189"
"J.A. Happ","- - -","618.0","9.0","0.9","","4.0","3.6","2.0","-4.3","","","","7410"
"Shane Bieber","CLE","490.1","9.0","4.4","","7.7","3.2","-0.4","-8.4","","","","19427"
"Gerrit Cole","- - -","808.2","9.0","7.1","","5.3","4.6","0.6","-7.9","","","","13125"
"Robbie Ray","- - -","620.2","9.0","","7.4","6.5","5.8","1.7","-3.5","","","","11486"
"Chase Anderson","- - -","487.0","8.9","5.2","","7.2","5.7","","-8.6","","","","6895"
"Yu Darvish","- - -","592.0","8.9","2.5","2.5","5.2","3.3","-1.6","-9.1","-10.3","","","13074"
"Frankie Montas","OAK","318.2","8.8","","1.4","6.2","3.6","1.0","8.2","","","","14309"
"Tanner Roark","- - -","571.1","8.8","5.2","","6.8","4.5","2.2","-10.0","","","","8753"
"Anibal Sanchez","- - -","437.0","8.8","6.1","3.4","7.1","2.8","1.5","-3.0","","","","3284"
"Jordan Lyles","- - -","356.0","8.8","","","5.5","3.1","0.7","-9.4","","","","7593"
"Eric Lauer","- - -","319.1","8.7","4.5","-0.5","8.9","5.0","-1.0","-5.5","","","","19316"
"Marco Gonzales","- - -","534.0","8.7","5.1","","7.0","3.9","6.5","-8.7","","","","15467"
"Zack Greinke","- - -","806.1","8.6","1.7","7.7","6.1","1.4","0.2","-8.2","-8.6","","","1943"
"Jacob deGrom","NYM","782.1","8.6","","3.5","6.0","1.8","2.2","-3.5","","","","10954"
"Mike Clevinger","- - -","481.2","8.6","2.1","","-0.7","4.1","-0.3","-7.7","","","","12808"
"Andrew Cashner","- - -","446.1","8.5","2.7","","6.5","3.7","0.6","-5.9","","","","8782"
"Luke Weaver","- - -","341.0","8.5","4.1","","6.5","3.8","4.4","-4.5","","","","16918"
"Luis Severino","NYY","396.2","8.5","6.7","","","5.0","-2.4","9.2","","","","15890"
"Yusei Kikuchi","SEA","312.0","8.5","4.0","","","3.5","-0.5","-9.7","","","","20633"
"Kyle Gibson","- - -","683.2","8.4","3.5","","5.4","2.1","-1.2","-6.1","","","","10123"
"Mike Foltynewicz","- - -","561.1","8.4","3.1","","5.5","5.2","0.6","-3.4","","","","10811"
"James Paxton","- - -","468.2","8.4","1.9","","6.4","3.4","1.9","-5.8","","","","11828"
"Jose Quintana","- - -","565.2","8.4","-6.9","","7.1","3.7","-8.7","-5.4","","","","11423"
"Anthony DeSclafani","- - -","430.2","8.3","","","5.4","2.1","1.2","-4.7","","","","13050"
"Kenta Maeda","- - -","517.1","8.3","3.8","0.7","4.8","4.4","2.1","-8.4","","","","18498"
"Tyler Glasnow","- - -","318.2","8.3","","","6.5","3.2","-3.9","-10.6","","","","14374"
"Alex Cobb","- - -","469.0","8.3","","2.6","6.9","4.4","-11.7","-9.8","","","","6562"
"Carlos Rodon","CHW","327.0","8.3","8.1","","5.3","3.2","-1.4","-6.3","","","","16137"
"Masahiro Tanaka","NYY","561.1","8.2","4.8","1.1","3.9","1.5","-0.4","-6.3","","","","15764"
"Michael Fulmer","DET","337.1","8.2","2.5","","5.9","1.2","1.0","-5.0","","","","13218"
"Zack Wheeler","- - -","660.2","8.2","","3.2","6.8","5.2","2.3","-7.7","","","","10310"
"Jason Vargas","- - -","420.1","8.2","5.9","","6.3","4.8","","-7.1","","","","8044"
"Kevin Gausman","- - -","624.2","8.2","","1.2","5.5","5.3","-0.4","-3.5","","","","14107"
"Jameson Taillon","- - -","450.0","8.1","5.3","","4.8","4.5","2.4","-8.9","","","","11674"
"Rick Porcello","- - -","628.0","8.1","","7.5","4.5","2.7","2.0","-7.2","","","","2717"
"Cole Hamels","- - -","483.2","8.0","4.0","","5.0","4.0","0.4","-6.7","","","","4972"
"Jordan Zimmermann","DET","407.1","8.0","9.7","","3.9","2.9","3.0","-4.7","","","","4505"
"Tyler Mahle","CIN","406.2","8.0","3.0","2.6","-0.4","4.3","-1.0","-5.2","","","","16358"
"Brandon Woodruff","MIL","373.0","8.0","4.4","","6.2","3.3","-0.6","-7.8","","","","16162"
"Gio Gonzalez","- - -","470.1","8.0","","","4.7","2.8","-0.2","-10.5","","","","7448"
"Merrill Kelly","ARI","331.2","8.0","5.6","","3.9","4.5","6.7","-8.0","","","","11156"
"Martin Perez","- - -","567.0","7.9","3.9","","4.8","4.3","0.6","-4.4","","","","6902"
"Mike Minor","- - -","533.1","7.9","","","6.2","5.5","1.2","-7.3","","","","10021"
"Jon Lester","- - -","665.1","7.9","4.8","","3.0","2.4","6.5","-4.5","","","","4930"
"Stephen Strasburg","WSN","541.0","7.9","","","5.0","1.0","2.8","-6.3","","","","10131"
"Zach Davies","- - -","583.2","7.8","5.4","","5.4","3.2","-1.4","-9.0","","","","13183"
"Johnny Cueto","SFG","362.2","7.8","","","4.5","0.8","2.4","-1.8","","","","6893"
"Kyle Hendricks","CHC","714.1","7.7","-7.4","","4.6","5.0","1.3","-8.6","","","","12049"
"Madison Bumgarner","- - -","560.2","7.7","3.1","","5.1","2.9","5.9","-4.1","-5.5","","","5524"
"Patrick Corbin","- - -","753.1","7.7","2.7","","5.5","5.1","-1.6","-1.9","","","","9323"
"Jose Berrios","MIN","714.2","7.7","","5.1","4.9","1.2","3.6","-3.0","","","","14168"
"Andrew Heaney","LAA","451.2","7.7","","","7.7","3.2","9.8","-3.4","","","","15423"
"Chad Kuhl","PIT","340.0","7.7","","-9.5","7.0","2.8","0.3","-7.3","","","","14975"
"Reynaldo Lopez","CHW","449.2","7.7","3.0","","5.2","4.7","0.4","-3.7","","","","16400"
"Noah Syndergaard","NYM","382.1","7.6","","","5.3","3.8","1.3","-2.5","","","","11762"
"Jeff Samardzija","SFG","450.1","7.6","5.9","3.9","4.8","3.8","3.1","-5.9","","","","3254"
"Brett Anderson","- - -","415.2","7.6","5.0","","4.3","3.5","-5.5","-9.7","","1.7","","8223"
"Alex Wood","- - -","424.0","7.6","1.7","2.5","6.4","1.2","-2.5","-3.0","","","","13781"
"David Price","- - -","362.2","7.6","4.0","","5.7","2.4","-2.3","-3.0","","","","3184"
"Matthew Boyd","DET","620.1","7.6","","","5.0","3.8","-1.4","-4.2","","","","15440"
