last_name, first_name,player_id,year,p_formatted_ip,p_strikeout,p_k_percent,p_bb_percent,ff_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,si_avg_spin,fc_avg_spin,fs_avg_spin,kn_avg_spin,fastball_avg_spin,
Wainwright, Adam,425794,2021,118.2,111,22.7,6.5,2226,,1755,2838,2237,2409,,,2302,
Greinke, Zack,425844,2021,120.2,89,18.5,5.0,2232,2365,1583,2350,2160,,,,2221,
Hill, Rich,448179,2021,95.1,91,23.4,9.3,2328,2600,1549,2720,2212,2427,,,2329,
Morton, Charlie,450203,2021,105.0,123,28.0,8.9,2328,,2088,3035,2115,2406,,,2289,
Lester, Jon,452657,2021,70.1,49,15.2,8.7,2176,,1769,2448,2059,2298,,,2205,
Scherzer, Max,453286,2021,105.0,142,35.1,6.2,2445,2297,1440,2673,,2499,,,2453,
Arrieta, Jake,453562,2021,74.1,66,19.0,10.4,,2291,1736,2690,2096,,,,2096,
Cueto, Johnny,456501,2021,83.0,70,20.1,4.6,2260,2262,1327,2338,2161,2183,,,2231,
Happ, J.A.,457918,2021,89.1,71,17.9,6.6,2315,2246,1820,2310,2126,,,,2278,
Lynn, Lance,458681,2021,97.2,109,27.6,8.1,2406,,1828,2387,2249,2544,,,2426,
Kershaw, Clayton,477132,2021,106.1,127,30.1,4.5,2511,2657,2166,2547,,,,,2511,
Miley, Wade,489119,2021,102.2,84,19.8,6.6,2246,2292,1800,2392,2032,2278,,,2266,
Pineda, Michael,501381,2021,66.1,58,21.0,5.8,1955,1979,1728,,,,,,1955,
Minor, Mike,501985,2021,112.1,108,22.7,7.1,2547,2719,2251,2506,,,,,2547,
Gibson, Kyle,502043,2021,107.0,90,20.8,7.6,2294,2527,1653,2441,2152,2378,,,2229,
Cobb, Alex,502171,2021,72.2,80,26.2,8.2,2105,,,2582,2063,,1629,,2067,
Darvish, Yu,506433,2021,110.2,128,28.9,5.9,2526,2755,1390,2728,2421,2769,1468,,2662,
Bumgarner, Madison,518516,2021,70.2,69,22.8,6.3,2456,,1504,2614,,2542,,,2499,
